,Round
6696,0
6313,0
2045,0
13159,3
14632,0
2287,0
14568,0
1947,0
7603,0
14206,0
12051,5
2988,0
13161,0
15165,0
6147,0
12234,3
14497,0
6804,0
14572,4
7555,0
14596,0
12805,0
2360,0
3357,0
2804,0
2844,1
2701,0
11864,0
12520,0
6806,0
12999,0
14406,0
2641,0
8562,4
15175,0
11990,0
9086,5
2477,5
13288,4
14116,0
14530,3
13973,0
3028,0
14992,0
8544,0
14490,0
12553,0
1588,0
13841,0
9267,3
1888,0
3082,0
8506,1
15215,0
7144,4
1881,6
14929,0
2313,0
8422,0
9274,0
11467,0
14152,0
2189,0
11512,0
1759,0
3183,0
9476,3
12472,0
7594,0
13840,0
14703,0
2525,0
6193,6
6600,0
14947,0
7657,0
11998,0
3018,0
7873,0
3070,0
13170,0
7369,0
13718,0
6374,0
15068,0
12545,7
12272,0
6845,5
2759,0
11704,6
13174,0
6701,0
13883,0
13443,0
8489,0
7324,0
12756,0
7807,0
6350,0
7992,0
11504,0
14889,0
15027,0
7915,0
13801,0
7218,0
11959,4
6885,0
9256,0
11970,0
12356,0
14976,2
1868,0
13498,4
6911,6
7319,0
3385,0
2194,0
9440,0
11856,0
9032,2
9527,4
39,0
12862,0
12791,0
7016,1
8022,0
7700,0
2285,0
8496,0
12031,1
9566,0
3059,1
13085,0
1,4
11547,0
2940,0
7337,0
1851,3
11961,7
14407,0
2649,0
11901,0
15111,0
7109,0
13143,3
13889,0
6805,0
2429,0
9108,0
12353,0
2306,0
14110,0
13423,0
6594,0
14017,0
13795,0
12804,2
3172,0
14753,5
13217,0
12375,0
6589,0
2871,0
11898,0
13512,0
12995,0
7327,0
14105,0
11841,3
2498,7
2333,0
2512,0
9149,4
13012,0
14029,0
35,4
2308,0
9360,6
6949,0
13826,5
7098,0
13239,0
1594,0
12764,0
7817,3
11748,2
2796,0
12965,0
2473,0
9365,2
6977,0
9091,7
6715,3
7153,0
12769,0
11968,0
2318,0
13027,0
7504,0
9464,7
6639,0
7078,0
14737,0
14967,0
9411,0
7704,0
13974,0
7606,2
2052,0
13655,0
2632,0
3241,0
2119,6
7675,0
14762,0
8538,3
15071,0
3380,0
9057,3
9107,0
2639,0
13300,0
14053,0
12476,0
12385,0
12760,0
6807,0
7057,0
2408,0
2806,0
6207,0
14374,0
13079,0
14977,0
12089,0
2087,0
13575,0
14074,7
13317,0
6886,0
3338,0
6748,6
14959,0
13897,4
8336,0
9116,6
13628,2
9114,1
6611,0
13219,5
9372,0
1912,0
11557,5
12153,1
3027,0
2114,0
12438,6
7317,0
14283,7
12022,0
2763,0
12975,0
7092,5
12420,0
2579,6
13830,0
7355,0
1877,1
14701,0
6599,3
11999,4
13086,0
13006,0
7272,0
12534,0
8509,0
1719,0
11646,0
9080,0
12569,0
2878,0
2842,0
12255,0
11737,0
6928,0
8070,0
7254,3
6527,0
13986,3
13837,0
12914,0
6454,5
6796,0
11706,0
12392,5
7471,0
2996,0
11597,0
15088,0
2327,0
9172,2
12073,0
11854,0
12915,3
6241,1
7838,0
7809,0
13543,0
13107,1
8074,0
14558,0
7974,0
11363,0
13903,0
14456,4
11360,0
11958,0
3198,0
8548,0
6480,4
6541,0
2510,0
7435,0
11939,0
14877,3
1932,4
2157,0
13532,0
2383,0
11732,0
8067,4
2858,0
13768,0
12854,0
15187,4
12024,0
8459,0
15119,0
1909,0
7181,0
2134,0
2657,0
1967,0
12351,0
11416,0
13524,0
7473,0
8553,0
14778,3
12575,0
12187,0
12923,0
3352,0
6403,0
6321,0
9243,0
12968,0
2069,7
7922,5
13099,0
11411,0
13603,1
2362,0
7759,0
6847,0
1613,0
6459,0
3281,6
9320,1
1724,0
3339,0
11811,0
1598,0
12615,0
12013,0
6509,0
2170,0
14046,0
12459,1
1816,0
14565,0
7132,0
2184,0
13571,0
13836,0
14314,3
7578,0
