,,,,,,,,,,,Rushing,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
1978,Frank Wycheck,391,WAS,6,160,1993,Maryland,1990,1992,31,80,391,4.9,5,12.6,TE,Maryland
1979,Bob Windsor,389,SFO,2,26,1966,Kentucky,1965,1966,20,106,389,3.7,2,19.5,WR,Kentucky
1980,Fulton Walker,388,MIA,6,154,1981,West Virginia,1977,1980,45,80,388,4.9,2,8.6,DB,West Virginia
1981,Bob Riggle,387,ATL,20,291,1966,Penn State,1963,1964,20,64,387,6,3,19.4,RB,Penn State
1982,Myles Jack,387,JAX,2,36,2016,UCLA,2013,2015,29,68,387,5.7,11,13.3,LB,UCLA
1983,Heath Shuler,383,WAS,1,3,1994,Tennessee,1991,1993,33,158,383,2.4,14,11.6,QB,Tennessee
1984,Dennis Northcutt,382,CLE,2,32,2000,Arizona,1996,1999,46,34,382,11.2,2,8.3,WR,Arizona
1985,George Shorthose,382,MIA,6,145,1985,Missouri,1980,1984,55,100,382,3.8,1,6.9,RB,Missouri
1986,Ryan Finley,382,CIN,4,104,2019,North Carolina State,2014,2018,47,214,382,1.8,5,8.1,QB,"Boise State,North Carolina State"
1987,Akili Smith,378,CIN,1,3,1999,Oregon,1997,1998,21,161,378,2.3,5,18,QB,Oregon
1988,Paul Flatley,378,DEN,7,53,1963,Northwestern,1960,1962,54,118,378,3.2,4,7,RB,Northwestern
1989,Kawaan Baker,376,NOR,7,255,2021,South Alabama,2017,2020,45,92,376,4.1,11,8.4,WR,South Alabama
1990,Steve Burks,373,NWE,4,91,1975,Arkansas State,1974,1974,10,92,373,4.1,4,37.3,QB,Arkansas State
1991,Jim Smith,371,PIT,3,75,1977,Michigan,1973,1976,44,50,371,7.4,1,8.4,WR,Michigan
1992,John Roderick,370,GNB,4,62,1966,SMU,1963,1965,20,75,370,4.9,3,18.5,RB,SMU
1993,Antonio Gibson,369,WAS,3,66,2020,Memphis,2018,2019,28,33,369,11.2,4,13.2,WR,Memphis
1994,Rodney Adams,369,MIN,5,170,2017,South Florida,2013,2016,39,39,369,9.5,7,9.5,WR,"South Florida,Toledo"
1995,Ryan Tannehill,369,MIA,1,8,2012,Texas A&M,2008,2011,50,115,369,3.2,5,7.4,WR,Texas A&M
1996,Jeff Allen,368,CRD,13,329,1971,Iowa State,1968,1969,20,81,368,4.5,4,18.4,RB,Iowa State
1997,Terry Barr,366,DET,3,36,1957,Michigan,1956,1956,9,60,366,6.1,6,40.7,RB,Michigan
1998,Oscar Dragon,365,SDG,17,423,1972,Arizona State,1969,1971,21,76,365,4.8,7,17.4,RB,Arizona State
1999,Steve Bradley,364,CIN,12,316,1986,Indiana,1983,1985,33,222,364,1.6,7,11,QB,Indiana
2000,Dana Wright,363,NYG,9,251,1987,,1982,1982,8,123,363,3,1,45.4,RB,Kent State
