,,,,,,,,,,,Passing,,,,,,,,,,,,,,,
Rk,Player,TD,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C,Y/G,Pos,Team
138,Stoney Case,67,CRD,3,80,1995,New Mexico,1991,1994,42,677,1237,560,54.7,9460,67,39,5.4,3.2,130.5,7.6,7.31,14,225.2,QB,New Mexico
139,David Fales,66,CHI,6,183,2014,San Jose State,2012,2013,25,639,938,299,68.1,8382,66,22,7,2.3,161.7,8.9,9.29,13.1,335.3,QB,San Jose State
140,Jordan Travis,66,NYJ,5,171,2024,Florida State,2018,2023,49,637,1027,390,62,8715,66,20,6.4,1.9,150.6,8.5,8.89,13.7,177.9,QB,"Florida State,Louisville"
141,Kevin Sweeney,66,DAL,7,180,1987,Fresno State,1982,1986,56,731,1336,605,54.7,10623,66,48,4.9,3.6,130.6,8,7.32,14.5,189.7,QB,Fresno State
142,Kirk Cousins,66,WAS,4,102,2012,Michigan State,2008,2011,45,723,1128,405,64.1,9131,66,30,5.9,2.7,146.1,8.1,8.07,12.6,202.9,QB,Michigan State
143,Stetson Bennett,66,RAM,4,128,2023,Georgia,2019,2022,42,601,923,322,65.1,8429,66,21,7.2,2.3,160.9,9.1,9.54,14,200.7,QB,Georgia
144,Zac Robinson,66,NWE,7,250,2010,Oklahoma State,2006,2009,45,610,999,389,61.1,8317,66,31,6.6,3.1,146.6,8.3,8.25,13.6,184.8,QB,Oklahoma State
145,Aidan O'Connell,65,RAI,4,135,2023,Purdue,2019,2022,33,826,1238,412,66.7,9219,65,30,5.3,2.4,141.8,7.4,7.41,11.2,279.4,QB,Purdue
146,Alex McGough,65,SEA,7,220,2018,Florida International,2014,2017,46,806,1335,529,60.4,9091,65,37,4.9,2.8,128.1,6.8,6.54,11.3,197.6,QB,Florida International
147,Jameis Winston,65,TAM,1,1,2015,Florida State,2013,2014,27,562,851,289,66,7964,65,28,7.6,3.3,163.3,9.4,9.41,14.2,295,QB,Florida State
