,Round
8548,0
12389,0
11904,0
12013,0
9071,7
9224,3
6568,0
12540,3
12371,4
2207,0
7204,6
1779,1
138,0
12228,0
14805,0
8218,0
12387,6
7980,0
8519,0
8135,3
14809,0
15062,0
12769,0
1913,0
11712,0
13631,0
7611,0
11973,7
12640,1
6595,0
12218,1
2790,0
2527,6
13374,0
14821,0
12179,0
11866,0
2553,0
11603,0
7055,0
7441,0
3165,0
6520,0
11989,0
6503,0
1956,0
1611,4
2842,0
2564,0
6698,0
11881,0
2092,0
13028,0
2523,7
1888,0
6540,2
7146,0
9154,4
3164,1
7675,0
6409,2
1953,0
2925,0
6819,6
12550,0
7709,0
12290,0
13703,6
7899,0
11829,0
2794,0
12496,0
6822,0
12464,0
1727,0
12983,0
13235,0
2712,0
6628,1
8631,0
14506,0
2538,6
15084,7
14220,0
2897,3
7428,0
2910,6
8480,0
12738,1
1769,0
14351,5
12445,0
6448,0
1574,6
12722,0
3052,0
8427,2
1878,0
2884,0
15208,0
7768,0
13642,4
12071,0
6279,2
6491,7
11632,0
7251,0
3321,0
14507,0
2768,0
13487,5
9545,0
14538,0
8413,0
6609,7
8367,0
11979,6
14921,0
2005,0
8642,0
13700,0
9400,0
6420,0
14559,0
6579,1
11711,0
6889,2
15030,0
9323,0
3214,0
9502,3
6343,0
8497,0
13802,0
9130,0
11498,0
6335,0
3045,0
12014,0
2409,5
14561,0
13254,0
6899,0
14243,0
14127,0
14508,0
12225,0
3261,0
13478,0
12548,0
6954,1
13638,0
7368,0
6430,3
14545,0
11467,0
11810,0
2929,0
12504,0
13353,0
8520,3
13468,0
7971,0
7397,0
2461,7
8197,3
14522,0
1640,0
7167,0
7062,0
12324,0
2905,1
12850,3
11951,0
9137,3
14961,0
2440,0
14593,0
15020,0
13978,0
11924,0
2903,0
8149,7
8587,0
11873,0
11720,0
14110,0
14720,0
11583,5
44,0
9503,0
11469,0
9052,0
15059,0
11503,0
1962,7
14366,0
14531,0
9482,4
9511,0
14516,2
14150,0
12988,0
2082,0
12551,2
9583,0
9039,1
1943,0
3268,0
3265,0
6174,4
13494,0
9014,0
9580,0
13866,7
11912,0
9565,7
2864,7
2831,0
14852,0
3222,0
14112,0
6845,5
3240,0
12041,0
7151,0
8581,0
6147,0
14084,7
11333,0
2616,0
3081,0
14866,2
7002,0
7662,0
2858,0
6143,0
9395,0
6417,0
12863,0
2396,0
6807,0
3105,0
12254,0
7549,2
6780,6
1946,0
3254,0
13172,0
7932,0
7728,0
13664,2
11999,4
9526,3
13540,0
6606,0
8316,0
12631,2
7078,0
6187,0
2,1
0,0
2180,0
12158,0
8498,0
6784,4
6626,0
1680,0
2650,0
6374,0
14807,0
12873,0
7820,1
8116,0
12221,0
7515,0
14619,0
9273,5
6930,0
13741,2
8397,0
2590,0
1657,3
7769,4
12436,0
13724,0
13352,0
2126,0
13772,0
12597,0
13463,0
6379,1
7582,0
3306,0
7531,0
14740,0
13288,4
1632,2
6354,0
8377,0
15103,0
2891,0
8339,0
14819,0
8598,0
7739,0
7168,3
9120,0
