,Pass_TD,From,To,G,Cmp,Pass_Att,Inc,Cmp%,Pass_Yds,Int,TD%,Int%,Rate,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pos,Team,Rush_Yds,Rush_Att,Rush_Y/A,Rush_TD,Rush_Y/G,Rec_Yds,Rec,Y/R,Rec_TD,Rec_Y/G
13863,0.0,2013,2014,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Georgia Tech'],0.0,0.0,0.0,0.0,0.0,1060.0,56.0,18.9,11.0,44.2
14530,0.0,2017,2019,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Michigan'],0.0,0.0,0.0,0.0,0.0,1388.0,78.0,17.8,13.0,47.9
1749,27.0,1994,1998,48,359.0,678.0,319.0,52.9,4749.0,15.0,4.0,2.2,120.5,7.0,6.81,13.2,98.9,QB,"['Tennessee', 'Texas A&M']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14043,0.0,2014,2018,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Texas Tech'],0.0,0.0,0.0,0.0,0.0,1027.0,83.0,12.4,5.0,25.0
9500,0.0,2017,2021,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,['Georgia State'],0.0,0.0,0.0,0.0,0.0,1224.0,96.0,12.8,12.0,21.9
6290,0.0,1992,1996,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,"['Colorado State', 'Iowa State']",2106.0,386.0,5.5,24.0,56.9,848.0,49.0,17.3,8.0,22.9
9316,0.0,2008,2011,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,['Central Michigan'],0.0,0.0,0.0,0.0,0.0,877.0,68.0,12.9,10.0,17.5
13581,0.0,2011,2015,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Northwestern'],0.0,0.0,0.0,0.0,0.0,1509.0,128.0,11.8,8.0,29.6
14367,0.0,2016,2019,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Western Kentucky'],0.0,0.0,0.0,0.0,0.0,2691.0,210.0,12.8,13.0,52.8
14515,0.0,2017,2020,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Oklahoma State'],0.0,0.0,0.0,0.0,0.0,780.0,82.0,9.5,3.0,15.6
2328,27.0,2005,2007,28,226.0,424.0,198.0,53.3,3143.0,16.0,6.4,3.8,129.0,7.4,6.99,13.9,112.3,QB,['Oklahoma State'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2152,13.0,2001,2002,22,138.0,261.0,123.0,52.9,1616.0,10.0,5.0,3.8,113.7,6.2,5.46,11.7,73.5,QB,['Colorado'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13603,0.0,2011,2014,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Louisville'],0.0,0.0,0.0,0.0,0.0,2775.0,156.0,17.8,33.0,64.5
