,Round
9500,0
6290,6
9316,0
13581,0
14367,0
14515,0
2328,0
2152,0
13603,1
14834,0
14060,0
13259,0
8630,0
7899,0
2538,6
14354,0
2614,4
11543,0
14525,0
11631,0
14084,7
6762,0
12870,0
2594,0
11472,0
7869,0
13305,0
2193,5
1931,0
13209,0
6663,0
6858,0
7251,0
14779,0
12993,1
8395,0
13901,0
2881,0
6834,0
12426,0
7417,4
8417,0
12626,0
139,0
7930,0
2994,0
12726,2
12679,7
11573,0
13610,0
13888,0
7554,7
14974,0
14596,0
2239,0
12891,0
8506,1
14859,2
7919,0
13696,4
14053,0
13115,6
2764,1
7571,5
6382,0
6669,3
6272,0
7231,0
12618,0
14475,0
8439,0
1940,0
12771,0
14347,0
6959,0
9247,4
7285,7
3230,3
9221,2
6194,0
2384,0
13672,1
13528,0
2284,0
12632,0
1829,0
13654,0
14074,7
11584,0
9142,1
6298,6
6989,0
3365,0
1714,0
9072,0
3015,0
14960,0
2953,0
13437,0
6330,7
7553,7
11744,1
2664,0
8088,1
7466,5
2258,0
11806,0
9244,4
13172,0
13236,0
2561,2
6894,0
6385,0
8483,0
2856,0
9212,7
13607,3
8561,0
12093,0
12242,2
1847,3
11624,0
14273,0
11769,0
13422,0
2341,0
7856,0
2314,0
2821,0
6944,0
9410,0
12772,0
12684,0
11514,0
7119,0
12126,0
11875,0
2880,1
3212,0
13415,0
13469,0
13547,0
8489,0
12761,0
7278,0
2440,0
6554,3
2545,0
9028,4
13971,0
7891,0
7026,0
7227,0
6994,0
1735,0
11616,0
8145,0
11640,0
13778,5
12118,0
15162,4
13113,4
14323,0
12413,0
8146,0
12682,0
15036,0
7288,0
2602,0
13109,5
2946,1
9280,0
8552,0
14690,0
9188,0
9522,0
14762,0
12245,0
76,3
6223,0
12742,0
14749,0
1615,0
12778,0
12729,0
7480,0
7937,0
8106,0
6806,0
3006,0
14817,0
12586,0
12571,7
15124,0
7083,2
6674,0
2971,0
14843,0
8034,0
11577,4
2926,0
14176,6
6568,0
9296,0
15050,0
12826,4
9215,7
2976,0
9398,0
8008,0
3387,0
11510,0
14315,0
2546,4
15134,0
15190,6
7484,0
2732,0
8084,0
15239,0
14730,0
14004,0
12297,2
6643,0
15237,0
8620,0
13439,0
12547,0
2241,0
2810,0
7540,0
12364,0
15120,0
12874,0
9394,2
12864,0
11805,6
14990,1
12421,0
12934,3
97,0
14875,0
6535,2
9222,0
12988,0
12023,0
7367,0
9270,7
2768,0
12486,0
7800,4
3296,0
6630,0
13006,0
12457,0
1935,7
6861,0
12776,2
11916,0
7007,0
15092,0
2357,0
7513,3
12165,7
12736,0
7282,6
7481,0
2860,0
3300,1
14748,0
15032,0
8370,0
12132,0
14248,7
8178,2
14989,0
12227,0
115,6
8053,0
2992,0
9195,0
13687,0
6550,0
13582,0
6205,0
14175,0
12570,0
3280,0
12431,0
8418,6
12653,0
6267,0
8141,3
13665,0
2857,0
6697,3
12545,7
8131,0
6940,0
2863,0
2715,0
7936,0
13636,0
12895,0
14034,0
13861,0
2422,0
14683,0
11619,0
12034,1
2550,0
12018,0
2001,0
13761,0
14664,5
12909,0
6689,4
2785,0
2101,0
8285,0
15231,0
3270,0
7630,0
2116,0
11968,0
7311,0
7690,5
8262,0
12476,0
11807,0
12804,2
2136,0
6560,0
2870,0
13503,0
15116,0
1932,4
2801,0
14756,0
6882,0
2368,0
2652,0
